GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Wed Apr 24 16:25:07 GMT+05:30 2019,24-Apr-2019 16:25:07.344,77.58717821754935,12.925884301807264,0.17672284,4.0,837.7250973399227,67.36973,-0.51955765,7.42943478,6.5291872,0.03127957,0.00841196,-0.04295539,0.75952935,0.56141537,39,5.76321745,1.90519595,83.0226059,86,797.5,-,44.50176239,0.08363063,4,837.72509766,67.36972809,12.92588425,77.58718109,-,43,0,6.67187834,-,14.98797035,0,18.84711456,0.39531773,0,-,0.98243606,2.77524304,0.05066764,76
Wed Apr 24 16:25:08 GMT+05:30 2019,24-Apr-2019 16:25:08.337,77.58717811189905,12.925884711220297,0.005411522,4.0,837.9392205113089,67.36973,-0.05506832,7.45577192,6.21553755,0.00849324,-0.01880818,-0.00561349,0.74708205,0.53554451,39,5.76321745,1.88957965,83.01777649,86,800,-,44.4991684,0.08479784,4,837.93920898,67.36972809,12.92588425,77.58718109,-,43,0,6.66458988,-,15.00436211,0,18.82652473,0.01210523,0,-,0.96158421,2.71633959,0.05066764,77
Wed Apr 24 16:25:09 GMT+05:30 2019,24-Apr-2019 16:25:09.329,77.5871761158364,12.92588338101155,0.0121383155,4.0,838.2065424591193,67.36973,0.13647367,7.20197868,6.46693611,0.01795192,0.00053631,-0.00707788,0.74634987,0.56580853,39,5.76321745,1.87421715,82.92275238,86,798,-,44.49684525,0.085843,4,838.20654297,67.36972809,12.92588329,77.58717346,-,43,0,6.6603651,-,15.01387978,0,18.81459045,0.02715264,0,-,0.94987679,2.68326783,0.05066764,78
Wed Apr 24 16:25:10 GMT+05:30 2019,24-Apr-2019 16:25:10.329,77.58717717162449,12.925885966621301,0.0049306983,4.0,838.467665255327,67.36973,0.09577099,7.26662397,6.54115868,0.01436227,0.00037575,0.01439982,0.73853981,0.57410669,39,5.76321745,1.85910249,82.83002472,86,799.5,-,44.4939537,0.08714473,4,838.46765137,67.36972809,12.92588615,77.58717346,-,43,0,6.65756989,-,15.02018356,0,18.80669403,0.01102966,0,-,0.94227809,2.66180253,0.05066764,79
Wed Apr 24 16:25:11 GMT+05:30 2019,24-Apr-2019 16:25:11.328,77.58717778160533,12.925888026832764,0.004562454,4.0,839.0720378301653,67.36973,-0.53392327,7.28817272,7.74787331,0.00844242,-0.07679141,-0.03660971,0.70778763,0.49112472,39,5.76321745,1.82959294,82.82663727,86,798.5,-,44.49213791,0.08796231,4,839.07202148,67.36972809,12.92588806,77.58718109,-,43,0,6.65181351,-,15.03318119,0,18.79043388,0.01020592,0,-,0.92699093,2.61861849,0.05066764,80
Wed Apr 24 16:25:12 GMT+05:30 2019,24-Apr-2019 16:25:12.329,77.58717879586037,12.925888834397464,0.1323358,4.0,839.4882111860016,67.36973,0.34956414,7.05592775,6.87635708,0.02395719,0.00444535,-0.00610162,0.74171263,0.57679147,39,5.76321745,1.82959294,82.7509613,86,803,-,44.48994827,0.08894651,4,839.48822021,67.36972809,12.92588902,77.58718109,-,43,0,6.64785004,-,15.04214382,0,18.77923775,0.29602674,0,-,0.91673368,2.58964324,0.05066764,81
Wed Apr 24 16:25:13 GMT+05:30 2019,24-Apr-2019 16:25:13.328,77.5871786084449,12.925888352234919,0.020250667,4.0,838.8375333076058,67.36973,0.1053481,7.22592115,6.691998,0.02066923,0.01624274,0.01269136,0.73707539,0.59900129,39,5.76321745,1.8010056,82.69916534,86,798.5,-,44.48860931,0.08955015,4,838.83752441,67.36972809,12.92588806,77.58718109,-,43,0,6.64785004,-,15.04214382,0,18.77923775,0.04529945,0,-,0.91673368,2.58964324,0.05066764,82
Wed Apr 24 16:25:14 GMT+05:30 2019,24-Apr-2019 16:25:14.329,77.58717720275018,12.92588771116589,0.012290979,4.0,838.0501786464279,67.36973,0.50758624,7.70956469,6.13892078,0.02276456,0.00762843,0.05540268,0.7736851,0.54262239,39,5.76321745,1.8010056,82.695755,86,799.5,-,44.48677826,0.09037422,4,838.0501709,67.36972809,12.92588806,77.58717346,-,43,0,8.37554741,-,11.93941498,0,19.70067978,0.02749414,0,-,0.90225148,2.548733,6.77235985,83
Wed Apr 24 16:25:15 GMT+05:30 2019,24-Apr-2019 16:25:15.333,77.5871783072124,12.92588814352635,0.16340615,4.0,837.4611066266237,67.36973,0.29928434,7.2474699,6.18201733,0.0154213,-0.02697307,0.03246061,0.74293298,0.52700222,39,5.76321745,1.8010056,82.695755,86,799.5,-,44.48677826,0.09037422,4,837.46112061,67.36972809,12.92588806,77.58718109,-,43,0,8.37554741,-,11.93941498,0,19.70067978,0.36552915,0,-,0.90225148,2.548733,6.77235985,83
Wed Apr 24 16:25:16 GMT+05:30 2019,24-Apr-2019 16:25:16.329,77.58717972018312,12.925886744117065,0.18158507,4.0,837.7993819057713,67.36973,0.86672747,7.15409327,6.87156868,0.07209522,0.07210272,0.05125359,0.77588171,0.63756353,39,5.76321745,1.8010056,82.695755,86,799.5,-,44.48677826,0.09037422,4,837.79937744,67.36972809,12.92588711,77.58718109,-,43,0,8.37554741,-,11.93941498,0,19.70067978,0.40619424,0,-,0.90225148,2.548733,6.77235985,84
