GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Tue May 07 18:29:09 GMT+05:30 2019,07-May-2019 18:29:09.491,77.6280250222133,13.06762630398433,0.0,6.0,822.0659500141121,0.0,-2.36075497,9.00486755,5.57626581,0.03985977,0.18175495,-0.03026402,0.91621888,0.64512956,27,-,0,158.13137817,-,972.75,-,49.99357605,0.04445542,6,822.065979,0,13.067626,77.62802124,-,35,0,9.25444031,-,10.80539894,0,26.14248657,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:10 GMT+05:30 2019,07-May-2019 18:29:10.493,77.6280249806911,13.067625884153287,0.0,6.0,822.0100530692098,0.0,3.09100866,-4.69277859,5.43021536,-0.08490869,-0.0976425,0.24137999,-0.23283772,0.73738599,27,-,0,158.11799622,-,977.5,-,49.99308395,0.04472705,6,822.0100708,0,13.067626,77.62802124,-,35,0,9.25370789,-,10.80625439,0,26.1404171,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:11 GMT+05:30 2019,07-May-2019 18:29:11.490,77.62802504216906,13.06762551890761,0.0,6.0,821.9844989902231,0.0,-4.59940195,-3.18677974,8.490098,0.03034074,0.02939269,-0.45542473,-0.30386055,0.77131093,27,-,0,158.10317993,-,977.5,-,49.99235535,0.04512758,6,821.98449707,0,13.06762505,77.62802124,-,35,0,9.25262642,-,10.80751705,0,26.13736343,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:12 GMT+05:30 2019,07-May-2019 18:29:12.491,77.6280253585444,13.067625335665783,0.0,6.0,821.956156968204,0.0,-3.68000031,-3.04312325,7.59942818,-0.06609637,0.01026738,-0.43516734,-0.30825374,0.75764334,27,-,0,158.08285522,-,976.75,-,49.9917717,0.04544914,6,821.95617676,0,13.06762505,77.62802887,-,35,0,9.25175858,-,10.80853081,0,26.13491249,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:13 GMT+05:30 2019,07-May-2019 18:29:13.490,77.62802555050193,13.067625236519147,0.0,6.0,821.9378780329814,0.0,-4.72150993,-3.36395621,8.72952557,0.01804329,-0.04489531,-0.40954053,-0.32460606,0.69906783,27,-,0,158.06625366,-,975.5,-,49.99120712,0.04575949,6,821.93786621,0,13.06762505,77.62802887,-,35,0,9.2509222,-,10.80950832,0,26.13254738,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:14 GMT+05:30 2019,07-May-2019 18:29:14.495,77.62802614533989,13.06762559122562,0.0,6.0,821.9114012937761,0.0,-4.25941467,-3.07424879,8.10701466,0.02056969,0.02686145,-0.44639432,-0.32924327,0.76374495,27,-,0,158.05065918,-,977.25,-,49.99079895,0.04598311,6,821.91137695,0,13.067626,77.62802887,-,35,0,9.2509222,-,10.80950832,0,26.13254738,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:15 GMT+05:30 2019,07-May-2019 18:29:15.490,77.62802653880878,13.067626250717938,0.0,6.0,821.8882296184415,0.0,-3.96252489,-2.95453501,8.17405415,0.00782884,-0.03453669,-0.42027938,-0.31411126,0.71005076,27,-,0,158.02688599,-,979.75,-,49.9899025,0.04647754,6,821.88824463,0,13.067626,77.62802887,-,35,0,9.24898624,-,10.81177139,0,26.12707901,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:16 GMT+05:30 2019,07-May-2019 18:29:16.491,77.62802706457391,13.06762674245149,0.0,6.0,821.8739633120767,0.0,-4.36955166,-3.26579094,8.23391151,-0.00484695,0.0189484,-0.46884829,-0.32533824,0.74373168,27,-,0,158.01367188,-,979.5,-,49.98956299,0.0466644,6,821.8739624,0,13.06762695,77.62802887,-,35,0,9.24898624,-,10.81177139,0,26.12707901,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:17 GMT+05:30 2019,07-May-2019 18:29:17.493,77.62802718886437,13.067627278789587,0.0,6.0,821.8783163938523,0.0,-4.24744368,-3.17241406,8.00166607,0.01049552,-0.03634996,-0.41515404,-0.29653859,0.71712863,27,-,0,157.9937439,-,982,-,49.98873138,0.04712007,6,821.8782959,0,13.06762695,77.62802887,-,35,0,9.24725437,-,10.81379604,0,26.12218666,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:18 GMT+05:30 2019,07-May-2019 18:29:18.492,77.62802727027153,13.067628088406238,0.0,6.0,821.8722109773885,0.0,-4.91784048,-3.39029312,8.84205723,0.02967672,-0.03247479,-0.41246933,-0.33217207,0.70931858,27,-,0,157.97932434,-,979.75,-,49.98806,0.04749111,6,821.87219238,0,13.06762791,77.62802887,-,35,0,9.24625397,-,10.81496525,0,26.11936188,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:19 GMT+05:30 2019,07-May-2019 18:29:19.497,77.62802656284134,13.067629656815296,0.0,6.0,821.8464757968027,0.0,-4.08702707,-2.90904379,7.61858225,0.02069954,0.0250714,-0.43394703,-0.32875514,0.76813817,27,-,0,157.96069336,-,979.25,-,49.98756409,0.04776189,6,821.84649658,0,13.06762981,77.62802887,-,35,0,9.24552536,-,10.81581879,0,26.11730194,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:20 GMT+05:30 2019,07-May-2019 18:29:20.494,77.62802659455944,13.067630302751994,0.0,6.0,821.8330247377886,0.0,-4.31208897,-2.82763863,8.32489395,0.03782307,-0.02456574,-0.44151303,-0.29629454,0.71737266,27,-,0,157.94622803,-,978.25,-,49.98693085,0.04811137,6,821.83300781,0,13.06763077,77.62802887,-,35,0,9.24458408,-,10.81691933,0,26.1146431,0,0,-,-,-,6.44746113,0
