GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(Â°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(Â°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
-,13-May-2019 16:43:41,-,-,-,-,-,-,1.72387791,2.29610944,9.98173141,0.05810014,0.03831841,0.19110265,0.43711987,0.82183236,30,-,0,145.3439636,-,980.25,-,48.24621582,0.00095735,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:42,-,-,-,-,-,-,0.79011071,4.19955778,9.30415154,0.01532114,-0.006403,0.10153091,0.41124904,0.79840219,30,-,0,145.3387909,-,978.75,-,48.24449158,0.00190406,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:43,-,-,-,-,-,-,0.73264807,4.20434666,8.82290268,0.01587286,-0.00993952,0.08127354,0.42247599,0.79132432,30,-,0,145.3387909,-,978.75,-,48.24449158,0.00190406,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:44,-,-,-,-,-,-,0.66800267,4.08463287,8.80614281,0.02130954,0.00639679,0.07297534,0.41613033,0.81304604,30,-,0,145.3339996,-,978.75,-,48.24290848,0.0027764,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:45,-,-,-,-,-,-,-0.32322711,4.04871893,8.4757328,-0.01441146,-0.06573278,-0.1086088,0.4051474,0.73445719,30,-,0,145.3318329,-,977.75,-,48.24218369,0.00317301,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:46,-,-,-,-,-,-,0.2657645,4.34082031,8.65290928,0.01997161,0.00480971,0.04027067,0.44151303,0.80133098,30,-,0,145.33078,-,979,-,48.24183655,0.00336428,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:47,-,-,-,-,-,-,0.26815879,4.73826981,8.57389832,0.01893821,0.01108159,0.04246726,0.47787869,0.78961587,30,-,0,145.3292694,-,977.75,-,48.24133301,0.00364148,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:48,-,-,-,-,-,-,1.78852332,5.00642872,7.34084654,0.01192498,-0.00369788,0.09860214,0.43028608,0.79278862,30,-,0,145.3268433,-,979.5,-,48.24052811,0.00408482,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:49,-,-,-,-,-,-,0.62730002,4.81728077,8.86599922,0.04954845,0.03090048,0.06394495,0.49105817,0.80377156,30,-,0,145.3249359,-,980,-,48.23989487,0.00443227,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:54,-,-,-,-,-,-,1.54909575,3.29931068,8.7031889,0.0389001,-0.08970842,0.23698682,0.32094508,0.71786088,30,-,0,145.3153687,-,979.25,-,48.23672104,0.00617881,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
